title_id,title,subtopic,category,intent,difficulty,estimated_viral_potential,educational_value,trend_score,source_provider,keywords,suggested_duration,suggested_clip_count,content_strategy,duplicate_status
title_40121ccd9e,3 Fishing Mistakes Beginners Make Without Realizing,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"3, fishing, mistakes, beginners, make, without, realizing",30,3,instructional_fishing,unique
title_fa566cd831,The First 5 Things Every New Angler Should Learn,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, first, 5, things, every, new, angler, should",30,3,instructional_fishing,unique
title_14af842ce2,Why Beginners Lose Fish Before They Even Hook Them,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"why, beginners, lose, fish, before, they, even, hook",30,3,instructional_fishing,unique
title_40f2dec0d1,What Nobody Tells You Before Your First Fishing Trip,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"what, nobody, tells, you, before, your, first, fishing",30,3,instructional_fishing,unique
title_402aebc1e3,Stop Doing This on Your First Cast,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"stop, doing, this, on, your, first, cast",30,3,cinematic_narrative,unique
title_4b63ff1fe8,The Beginner Fishing Checklist Pros Still Use,beginner fishing tips,fishing,listicle,beginner,0.697,0.62,0.42,seed_expansion,"the, beginner, fishing, checklist, pros, still, use",30,3,instructional_fishing,unique
title_1ac7dc3786,The Best Lure Color for Murky Water Fishing,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"the, best, lure, color, for, murky, water, fishing",30,3,instructional_fishing,unique
title_d1e4f82636,Why Fish Ignore Your Lure in Clear Water,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"why, fish, ignore, your, lure, in, clear, water",30,3,instructional_fishing,unique
title_c242dbb1a6,The Biggest Mistake When Using Soft Plastic Lures,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"the, biggest, mistake, when, using, soft, plastic, lures",30,3,instructional_fishing,unique
title_77365961b0,Which Lure Works When Nothing Else Does,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"which, lure, works, when, nothing, else, does",30,3,instructional_fishing,unique
title_eebc723688,How to Choose the Right Lure for the Conditions,lure fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, choose, the, right, lure, for, conditions",30,3,instructional_fishing,unique
title_22bbc0b462,How to Catch Zander in Shallow Water at Night,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, catch, zander, in, shallow, water, at",30,3,instructional_fishing,unique
title_3cca76a158,How to Catch Zander When the Water Gets Cold,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, catch, zander, when, the, water, gets",30,3,instructional_fishing,unique
title_ea32a72ae0,The Zander Retrieve Rhythm Most Anglers Miss,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, zander, retrieve, rhythm, most, anglers, miss",30,3,instructional_fishing,unique
title_68c41bff1f,Why Zander Follow Your Lure But Never Bite,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"why, zander, follow, your, lure, but, never, bite",30,3,instructional_fishing,unique
title_49828a9aaf,Best Depth to Target Zander in a New Lake,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"best, depth, to, target, zander, in, a, new",30,3,instructional_fishing,unique
title_023412262c,The Lure Type That Triggers More Zander Strikes,zander fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, lure, type, that, triggers, more, zander, strikes",30,3,instructional_fishing,unique
title_0dc7fb5085,How to Find Carp in a Lake You Have Never Fished,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, find, carp, in, a, lake, you",30,3,instructional_fishing,unique
title_904e682761,The Bait Choice That Gets Carp Feeding Faster,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, bait, choice, that, gets, carp, feeding, faster",30,3,instructional_fishing,unique
title_585f4fbf29,Why Your Carp Rig Keeps Failing at the Margin,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"why, your, carp, rig, keeps, failing, at, the",30,3,cinematic_narrative,unique
title_7d9b3cb1ca,How to Read Carp Signs Before You Cast,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, read, carp, signs, before, you, cast",30,3,instructional_general,unique
title_7501446de4,The Simple Carp Setup That Works in Tough Conditions,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, simple, carp, setup, that, works, in, tough",30,3,instructional_general,unique
title_75e1bac63f,What Changes When Carp Go Deep in Summer,carp fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"what, changes, when, carp, go, deep, in, summer",30,3,cinematic_narrative,unique
title_1f45e2dfa7,How to Target Pike Without Spooking Shallow Fish,pike fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, target, pike, without, spooking, shallow, fish",30,3,instructional_fishing,unique
title_5299919e52,The Retrieve Speed That Triggers Aggressive Pike,pike fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"the, retrieve, speed, that, triggers, aggressive, pike",30,3,instructional_fishing,unique
title_88ee4d0351,Why Pike Follow and Turn Away at the Last Second,pike fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"why, pike, follow, and, turn, away, at, the",30,3,instructional_fishing,unique
title_c54a7c4807,Best Wire Leader Mistakes Pike Anglers Make,pike fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"best, wire, leader, mistakes, pike, anglers, make",30,3,instructional_fishing,unique
title_515256c32d,How to Fish Weed Edges for Hidden Pike,pike fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, fish, weed, edges, for, hidden, pike",30,3,instructional_fishing,unique
title_c02d7d734d,The Lure Profile Pike Cannot Ignore in Cold Water,pike fishing,fishing,technique,intermediate,0.597,0.82,0.42,seed_expansion,"the, lure, profile, pike, cannot, ignore, in, cold",30,3,instructional_fishing,unique
title_c46f8cd4ad,How to Catch Bass When the Bite Goes Quiet,bass fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, catch, bass, when, the, bite, goes",30,3,instructional_fishing,unique
title_ac9ef641fb,The Cover Pattern Bass Use on Small Lakes,bass fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, cover, pattern, bass, use, on, small, lakes",30,3,instructional_fishing,unique
title_36086b3e8f,Why Your Bass Lure Gets Short Strikes,bass fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"why, your, bass, lure, gets, short, strikes",30,3,instructional_fishing,unique
title_422e44b81f,How to Fish Drop-Offs for Suspended Bass,bass fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, fish, drop, offs, for, suspended, bass",30,3,instructional_fishing,unique
title_c3a3a95b29,The Topwater Window Bass Anglers Should Not Miss,bass fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, topwater, window, bass, anglers, should, not, miss",30,3,instructional_fishing,unique
title_5f38e1d071,What Bass Do When Water Temperature Drops Fast,bass fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"what, bass, do, when, water, temperature, drops, fast",30,3,instructional_fishing,unique
title_14484e9ba7,How to Catch More Fish After Dark Without Guesswork,night fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, catch, more, fish, after, dark, without",30,3,instructional_fishing,unique
title_adbaccfebb,The Night Fishing Setup That Keeps You Hooked Up,night fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, night, fishing, setup, that, keeps, you, hooked",30,3,instructional_fishing,unique
title_cdeed01f00,How to Find Safe Spots for Night Fishing,night fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"how, to, find, safe, spots, for, night, fishing",30,3,instructional_fishing,unique
title_55707ab7ea,The Sound and Light Mistakes Night Anglers Make,night fishing,fishing,how_to,intermediate,0.597,0.82,0.42,seed_expansion,"the, sound, and, light, mistakes, night, anglers, make",30,3,instructional_fishing,unique
title_2b0b137176,How to Catch Fish When the Water Gets Ice Cold,winter fishing,fishing,technique,advanced,0.597,0.82,0.42,seed_expansion,"how, to, catch, fish, when, the, water, gets",30,3,instructional_fishing,unique
title_b874ce6be7,Why Winter Fish Hold Deeper Than You Think,winter fishing,fishing,technique,advanced,0.597,0.82,0.42,seed_expansion,"why, winter, fish, hold, deeper, than, you, think",30,3,instructional_fishing,unique
title_95e395ba29,The Winter Lure Size Rule Most Anglers Break,winter fishing,fishing,technique,advanced,0.597,0.82,0.42,seed_expansion,"the, winter, lure, size, rule, most, anglers, break",30,3,instructional_fishing,unique
title_3c2e11bc4b,The Simple Knot Every Beginner Angler Should Learn,fishing knots,fishing,how_to,beginner,0.597,0.82,0.42,seed_expansion,"the, simple, knot, every, beginner, angler, should, learn",30,3,instructional_fishing,unique
title_e8026f2319,Why Your Fishing Line Keeps Breaking at the Knot,fishing knots,fishing,how_to,beginner,0.597,0.82,0.42,seed_expansion,"why, your, fishing, line, keeps, breaking, at, the",30,3,instructional_fishing,unique
title_099e7e0497,Stop Losing Fish to Weak Knots,fishing knots,fishing,how_to,beginner,0.597,0.82,0.42,seed_expansion,"stop, losing, fish, to, weak, knots",30,3,instructional_fishing,unique
title_5bae97089c,Which Knot to Use for Lure Changes Fast,fishing knots,fishing,how_to,beginner,0.597,0.82,0.42,seed_expansion,"which, knot, to, use, for, lure, changes, fast",30,3,instructional_fishing,unique
title_d27cc1d05f,The Only Fishing Gear Upgrades Worth Buying First,fishing gear,fishing,gear_guide,beginner,0.597,0.62,0.42,seed_expansion,"the, only, fishing, gear, upgrades, worth, buying, first",30,3,instructional_fishing,unique
title_bee3dbbffe,Why Expensive Rods Do Not Fix Bad Technique,fishing gear,fishing,gear_guide,beginner,0.597,0.62,0.42,seed_expansion,"why, expensive, rods, do, not, fix, bad, technique",30,3,educational_tech,unique
title_34594a9d53,What to Pack for a One-Day Fishing Trip,fishing gear,fishing,gear_guide,beginner,0.597,0.62,0.42,seed_expansion,"what, to, pack, for, a, one, day, fishing",30,3,instructional_fishing,unique
title_353da6aeca,How to Match Rod Power to Your Target Species,fishing gear,fishing,gear_guide,beginner,0.597,0.62,0.42,seed_expansion,"how, to, match, rod, power, your, target, species",30,3,instructional_fishing,unique
title_4794566dab,The Hook-Set Mistake That Costs You Fish Every Trip,fishing mistakes,fishing,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, hook, set, mistake, that, costs, you, fish",30,3,instructional_fishing,unique
title_5cf465a525,How to Stop Scaring Fish Before Your First Cast,fishing mistakes,fishing,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"how, to, stop, scaring, fish, before, your, first",30,3,instructional_fishing,unique
title_d5a6c07898,The Casting Error That Kills Your Accuracy,fishing mistakes,fishing,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"the, casting, error, that, kills, your, accuracy",30,3,cinematic_narrative,unique
title_fd0fae6ad9,What Anglers Do Wrong at the Landing Net,fishing mistakes,fishing,mistake_fix,beginner,0.597,0.82,0.42,seed_expansion,"what, anglers, do, wrong, at, the, landing, net",30,3,instructional_fishing,unique
